ServerName, StartDrive, DbPerVolume, AutoReseedVolumes, DbLogIsolation, VolumesRootFolder, DatabasesRootFolder, DbMap
VersionNumber,2.1,7.6,,,,, 
msx-tp01,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB001,DAG1-DB006,DAG1-DB007,DAG1-DB011,DAG1-DB013,DAG1-DB016,DAG1-DB019,DAG1-DB021,DAG1-DB025,DAG1-DB026,DAG1-DB031,DAG1-DB036,DAG1-DB037,DAG1-DB041,DAG1-DB043,DAG1-DB046,DAG1-DB049,DAG1-DB051,DAG1-DB055,DAG1-DB056,DAG1-DB061,DAG1-DB066,DAG1-DB067,DAG1-DB071,DAG1-DB073,DAG1-DB076,DAG1-DB079,DAG1-DB081,DAG1-DB085,DAG1-DB086,DAG1-DB091,DAG1-DB096,DAG1-DB097,DAG1-DB101,DAG1-DB103,DAG1-DB106,DAG1-DB109,DAG1-DB111,DAG1-DB115,DAG1-DB116,DAG1-DB121,DAG1-DB126,DAG1-DB127,DAG1-DB131,DAG1-DB133,DAG1-DB136,DAG1-DB139,DAG1-DB141,DAG1-DB145,DAG1-DB146,DAG1-DB151,DAG1-DB156,DAG1-DB157,DAG1-DB161,DAG1-DB163,DAG1-DB166,DAG1-DB169,DAG1-DB171,DAG1-DB175,DAG1-DB176,DAG1-DB181,DAG1-DB186,DAG1-DB187,DAG1-DB191,DAG1-DB193,DAG1-DB196,DAG1-DB199,DAG1-DB201,DAG1-DB205,DAG1-DB206,DAG1-DB211,DAG1-DB216"
msx-tp02,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB001,DAG1-DB002,DAG1-DB008,DAG1-DB012,DAG1-DB014,DAG1-DB017,DAG1-DB020,DAG1-DB022,DAG1-DB026,DAG1-DB027,DAG1-DB031,DAG1-DB032,DAG1-DB038,DAG1-DB042,DAG1-DB044,DAG1-DB047,DAG1-DB050,DAG1-DB052,DAG1-DB056,DAG1-DB057,DAG1-DB061,DAG1-DB062,DAG1-DB068,DAG1-DB072,DAG1-DB074,DAG1-DB077,DAG1-DB080,DAG1-DB082,DAG1-DB086,DAG1-DB087,DAG1-DB091,DAG1-DB092,DAG1-DB098,DAG1-DB102,DAG1-DB104,DAG1-DB107,DAG1-DB110,DAG1-DB112,DAG1-DB116,DAG1-DB117,DAG1-DB121,DAG1-DB122,DAG1-DB128,DAG1-DB132,DAG1-DB134,DAG1-DB137,DAG1-DB140,DAG1-DB142,DAG1-DB146,DAG1-DB147,DAG1-DB151,DAG1-DB152,DAG1-DB158,DAG1-DB162,DAG1-DB164,DAG1-DB167,DAG1-DB170,DAG1-DB172,DAG1-DB176,DAG1-DB177,DAG1-DB181,DAG1-DB182,DAG1-DB188,DAG1-DB192,DAG1-DB194,DAG1-DB197,DAG1-DB200,DAG1-DB202,DAG1-DB206,DAG1-DB207,DAG1-DB211,DAG1-DB212"
msx-tp03,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB002,DAG1-DB003,DAG1-DB007,DAG1-DB009,DAG1-DB015,DAG1-DB018,DAG1-DB021,DAG1-DB023,DAG1-DB027,DAG1-DB028,DAG1-DB032,DAG1-DB033,DAG1-DB037,DAG1-DB039,DAG1-DB045,DAG1-DB048,DAG1-DB051,DAG1-DB053,DAG1-DB057,DAG1-DB058,DAG1-DB062,DAG1-DB063,DAG1-DB067,DAG1-DB069,DAG1-DB075,DAG1-DB078,DAG1-DB081,DAG1-DB083,DAG1-DB087,DAG1-DB088,DAG1-DB092,DAG1-DB093,DAG1-DB097,DAG1-DB099,DAG1-DB105,DAG1-DB108,DAG1-DB111,DAG1-DB113,DAG1-DB117,DAG1-DB118,DAG1-DB122,DAG1-DB123,DAG1-DB127,DAG1-DB129,DAG1-DB135,DAG1-DB138,DAG1-DB141,DAG1-DB143,DAG1-DB147,DAG1-DB148,DAG1-DB152,DAG1-DB153,DAG1-DB157,DAG1-DB159,DAG1-DB165,DAG1-DB168,DAG1-DB171,DAG1-DB173,DAG1-DB177,DAG1-DB178,DAG1-DB182,DAG1-DB183,DAG1-DB187,DAG1-DB189,DAG1-DB195,DAG1-DB198,DAG1-DB201,DAG1-DB203,DAG1-DB207,DAG1-DB208,DAG1-DB212,DAG1-DB213"
msx-tp04,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB003,DAG1-DB004,DAG1-DB008,DAG1-DB010,DAG1-DB013,DAG1-DB016,DAG1-DB022,DAG1-DB024,DAG1-DB028,DAG1-DB029,DAG1-DB033,DAG1-DB034,DAG1-DB038,DAG1-DB040,DAG1-DB043,DAG1-DB046,DAG1-DB052,DAG1-DB054,DAG1-DB058,DAG1-DB059,DAG1-DB063,DAG1-DB064,DAG1-DB068,DAG1-DB070,DAG1-DB073,DAG1-DB076,DAG1-DB082,DAG1-DB084,DAG1-DB088,DAG1-DB089,DAG1-DB093,DAG1-DB094,DAG1-DB098,DAG1-DB100,DAG1-DB103,DAG1-DB106,DAG1-DB112,DAG1-DB114,DAG1-DB118,DAG1-DB119,DAG1-DB123,DAG1-DB124,DAG1-DB128,DAG1-DB130,DAG1-DB133,DAG1-DB136,DAG1-DB142,DAG1-DB144,DAG1-DB148,DAG1-DB149,DAG1-DB153,DAG1-DB154,DAG1-DB158,DAG1-DB160,DAG1-DB163,DAG1-DB166,DAG1-DB172,DAG1-DB174,DAG1-DB178,DAG1-DB179,DAG1-DB183,DAG1-DB184,DAG1-DB188,DAG1-DB190,DAG1-DB193,DAG1-DB196,DAG1-DB202,DAG1-DB204,DAG1-DB208,DAG1-DB209,DAG1-DB213,DAG1-DB214"
msx-tp05,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB004,DAG1-DB005,DAG1-DB009,DAG1-DB011,DAG1-DB014,DAG1-DB017,DAG1-DB019,DAG1-DB023,DAG1-DB029,DAG1-DB030,DAG1-DB034,DAG1-DB035,DAG1-DB039,DAG1-DB041,DAG1-DB044,DAG1-DB047,DAG1-DB049,DAG1-DB053,DAG1-DB059,DAG1-DB060,DAG1-DB064,DAG1-DB065,DAG1-DB069,DAG1-DB071,DAG1-DB074,DAG1-DB077,DAG1-DB079,DAG1-DB083,DAG1-DB089,DAG1-DB090,DAG1-DB094,DAG1-DB095,DAG1-DB099,DAG1-DB101,DAG1-DB104,DAG1-DB107,DAG1-DB109,DAG1-DB113,DAG1-DB119,DAG1-DB120,DAG1-DB124,DAG1-DB125,DAG1-DB129,DAG1-DB131,DAG1-DB134,DAG1-DB137,DAG1-DB139,DAG1-DB143,DAG1-DB149,DAG1-DB150,DAG1-DB154,DAG1-DB155,DAG1-DB159,DAG1-DB161,DAG1-DB164,DAG1-DB167,DAG1-DB169,DAG1-DB173,DAG1-DB179,DAG1-DB180,DAG1-DB184,DAG1-DB185,DAG1-DB189,DAG1-DB191,DAG1-DB194,DAG1-DB197,DAG1-DB199,DAG1-DB203,DAG1-DB209,DAG1-DB210,DAG1-DB214,DAG1-DB215"
msx-tp06,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB005,DAG1-DB006,DAG1-DB010,DAG1-DB012,DAG1-DB015,DAG1-DB018,DAG1-DB020,DAG1-DB024,DAG1-DB025,DAG1-DB030,DAG1-DB035,DAG1-DB036,DAG1-DB040,DAG1-DB042,DAG1-DB045,DAG1-DB048,DAG1-DB050,DAG1-DB054,DAG1-DB055,DAG1-DB060,DAG1-DB065,DAG1-DB066,DAG1-DB070,DAG1-DB072,DAG1-DB075,DAG1-DB078,DAG1-DB080,DAG1-DB084,DAG1-DB085,DAG1-DB090,DAG1-DB095,DAG1-DB096,DAG1-DB100,DAG1-DB102,DAG1-DB105,DAG1-DB108,DAG1-DB110,DAG1-DB114,DAG1-DB115,DAG1-DB120,DAG1-DB125,DAG1-DB126,DAG1-DB130,DAG1-DB132,DAG1-DB135,DAG1-DB138,DAG1-DB140,DAG1-DB144,DAG1-DB145,DAG1-DB150,DAG1-DB155,DAG1-DB156,DAG1-DB160,DAG1-DB162,DAG1-DB165,DAG1-DB168,DAG1-DB170,DAG1-DB174,DAG1-DB175,DAG1-DB180,DAG1-DB185,DAG1-DB186,DAG1-DB190,DAG1-DB192,DAG1-DB195,DAG1-DB198,DAG1-DB200,DAG1-DB204,DAG1-DB205,DAG1-DB210,DAG1-DB215,DAG1-DB216"
msx-mh01,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB001,DAG1-DB006,DAG1-DB007,DAG1-DB011,DAG1-DB013,DAG1-DB016,DAG1-DB019,DAG1-DB021,DAG1-DB025,DAG1-DB026,DAG1-DB031,DAG1-DB036,DAG1-DB037,DAG1-DB041,DAG1-DB043,DAG1-DB046,DAG1-DB049,DAG1-DB051,DAG1-DB055,DAG1-DB056,DAG1-DB061,DAG1-DB066,DAG1-DB067,DAG1-DB071,DAG1-DB073,DAG1-DB076,DAG1-DB079,DAG1-DB081,DAG1-DB085,DAG1-DB086,DAG1-DB091,DAG1-DB096,DAG1-DB097,DAG1-DB101,DAG1-DB103,DAG1-DB106,DAG1-DB109,DAG1-DB111,DAG1-DB115,DAG1-DB116,DAG1-DB121,DAG1-DB126,DAG1-DB127,DAG1-DB131,DAG1-DB133,DAG1-DB136,DAG1-DB139,DAG1-DB141,DAG1-DB145,DAG1-DB146,DAG1-DB151,DAG1-DB156,DAG1-DB157,DAG1-DB161,DAG1-DB163,DAG1-DB166,DAG1-DB169,DAG1-DB171,DAG1-DB175,DAG1-DB176,DAG1-DB181,DAG1-DB186,DAG1-DB187,DAG1-DB191,DAG1-DB193,DAG1-DB196,DAG1-DB199,DAG1-DB201,DAG1-DB205,DAG1-DB206,DAG1-DB211,DAG1-DB216"
msx-mh02,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB001,DAG1-DB002,DAG1-DB008,DAG1-DB012,DAG1-DB014,DAG1-DB017,DAG1-DB020,DAG1-DB022,DAG1-DB026,DAG1-DB027,DAG1-DB031,DAG1-DB032,DAG1-DB038,DAG1-DB042,DAG1-DB044,DAG1-DB047,DAG1-DB050,DAG1-DB052,DAG1-DB056,DAG1-DB057,DAG1-DB061,DAG1-DB062,DAG1-DB068,DAG1-DB072,DAG1-DB074,DAG1-DB077,DAG1-DB080,DAG1-DB082,DAG1-DB086,DAG1-DB087,DAG1-DB091,DAG1-DB092,DAG1-DB098,DAG1-DB102,DAG1-DB104,DAG1-DB107,DAG1-DB110,DAG1-DB112,DAG1-DB116,DAG1-DB117,DAG1-DB121,DAG1-DB122,DAG1-DB128,DAG1-DB132,DAG1-DB134,DAG1-DB137,DAG1-DB140,DAG1-DB142,DAG1-DB146,DAG1-DB147,DAG1-DB151,DAG1-DB152,DAG1-DB158,DAG1-DB162,DAG1-DB164,DAG1-DB167,DAG1-DB170,DAG1-DB172,DAG1-DB176,DAG1-DB177,DAG1-DB181,DAG1-DB182,DAG1-DB188,DAG1-DB192,DAG1-DB194,DAG1-DB197,DAG1-DB200,DAG1-DB202,DAG1-DB206,DAG1-DB207,DAG1-DB211,DAG1-DB212"
msx-mh03,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB002,DAG1-DB003,DAG1-DB007,DAG1-DB009,DAG1-DB015,DAG1-DB018,DAG1-DB021,DAG1-DB023,DAG1-DB027,DAG1-DB028,DAG1-DB032,DAG1-DB033,DAG1-DB037,DAG1-DB039,DAG1-DB045,DAG1-DB048,DAG1-DB051,DAG1-DB053,DAG1-DB057,DAG1-DB058,DAG1-DB062,DAG1-DB063,DAG1-DB067,DAG1-DB069,DAG1-DB075,DAG1-DB078,DAG1-DB081,DAG1-DB083,DAG1-DB087,DAG1-DB088,DAG1-DB092,DAG1-DB093,DAG1-DB097,DAG1-DB099,DAG1-DB105,DAG1-DB108,DAG1-DB111,DAG1-DB113,DAG1-DB117,DAG1-DB118,DAG1-DB122,DAG1-DB123,DAG1-DB127,DAG1-DB129,DAG1-DB135,DAG1-DB138,DAG1-DB141,DAG1-DB143,DAG1-DB147,DAG1-DB148,DAG1-DB152,DAG1-DB153,DAG1-DB157,DAG1-DB159,DAG1-DB165,DAG1-DB168,DAG1-DB171,DAG1-DB173,DAG1-DB177,DAG1-DB178,DAG1-DB182,DAG1-DB183,DAG1-DB187,DAG1-DB189,DAG1-DB195,DAG1-DB198,DAG1-DB201,DAG1-DB203,DAG1-DB207,DAG1-DB208,DAG1-DB212,DAG1-DB213"
msx-mh04,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB003,DAG1-DB004,DAG1-DB008,DAG1-DB010,DAG1-DB013,DAG1-DB016,DAG1-DB022,DAG1-DB024,DAG1-DB028,DAG1-DB029,DAG1-DB033,DAG1-DB034,DAG1-DB038,DAG1-DB040,DAG1-DB043,DAG1-DB046,DAG1-DB052,DAG1-DB054,DAG1-DB058,DAG1-DB059,DAG1-DB063,DAG1-DB064,DAG1-DB068,DAG1-DB070,DAG1-DB073,DAG1-DB076,DAG1-DB082,DAG1-DB084,DAG1-DB088,DAG1-DB089,DAG1-DB093,DAG1-DB094,DAG1-DB098,DAG1-DB100,DAG1-DB103,DAG1-DB106,DAG1-DB112,DAG1-DB114,DAG1-DB118,DAG1-DB119,DAG1-DB123,DAG1-DB124,DAG1-DB128,DAG1-DB130,DAG1-DB133,DAG1-DB136,DAG1-DB142,DAG1-DB144,DAG1-DB148,DAG1-DB149,DAG1-DB153,DAG1-DB154,DAG1-DB158,DAG1-DB160,DAG1-DB163,DAG1-DB166,DAG1-DB172,DAG1-DB174,DAG1-DB178,DAG1-DB179,DAG1-DB183,DAG1-DB184,DAG1-DB188,DAG1-DB190,DAG1-DB193,DAG1-DB196,DAG1-DB202,DAG1-DB204,DAG1-DB208,DAG1-DB209,DAG1-DB213,DAG1-DB214"
msx-mh05,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB004,DAG1-DB005,DAG1-DB009,DAG1-DB011,DAG1-DB014,DAG1-DB017,DAG1-DB019,DAG1-DB023,DAG1-DB029,DAG1-DB030,DAG1-DB034,DAG1-DB035,DAG1-DB039,DAG1-DB041,DAG1-DB044,DAG1-DB047,DAG1-DB049,DAG1-DB053,DAG1-DB059,DAG1-DB060,DAG1-DB064,DAG1-DB065,DAG1-DB069,DAG1-DB071,DAG1-DB074,DAG1-DB077,DAG1-DB079,DAG1-DB083,DAG1-DB089,DAG1-DB090,DAG1-DB094,DAG1-DB095,DAG1-DB099,DAG1-DB101,DAG1-DB104,DAG1-DB107,DAG1-DB109,DAG1-DB113,DAG1-DB119,DAG1-DB120,DAG1-DB124,DAG1-DB125,DAG1-DB129,DAG1-DB131,DAG1-DB134,DAG1-DB137,DAG1-DB139,DAG1-DB143,DAG1-DB149,DAG1-DB150,DAG1-DB154,DAG1-DB155,DAG1-DB159,DAG1-DB161,DAG1-DB164,DAG1-DB167,DAG1-DB169,DAG1-DB173,DAG1-DB179,DAG1-DB180,DAG1-DB184,DAG1-DB185,DAG1-DB189,DAG1-DB191,DAG1-DB194,DAG1-DB197,DAG1-DB199,DAG1-DB203,DAG1-DB209,DAG1-DB210,DAG1-DB214,DAG1-DB215"
msx-mh06,2,4,2,0,"C:\ExchangeVolumes","C:\ExchangeDatabases","DAG1-DB005,DAG1-DB006,DAG1-DB010,DAG1-DB012,DAG1-DB015,DAG1-DB018,DAG1-DB020,DAG1-DB024,DAG1-DB025,DAG1-DB030,DAG1-DB035,DAG1-DB036,DAG1-DB040,DAG1-DB042,DAG1-DB045,DAG1-DB048,DAG1-DB050,DAG1-DB054,DAG1-DB055,DAG1-DB060,DAG1-DB065,DAG1-DB066,DAG1-DB070,DAG1-DB072,DAG1-DB075,DAG1-DB078,DAG1-DB080,DAG1-DB084,DAG1-DB085,DAG1-DB090,DAG1-DB095,DAG1-DB096,DAG1-DB100,DAG1-DB102,DAG1-DB105,DAG1-DB108,DAG1-DB110,DAG1-DB114,DAG1-DB115,DAG1-DB120,DAG1-DB125,DAG1-DB126,DAG1-DB130,DAG1-DB132,DAG1-DB135,DAG1-DB138,DAG1-DB140,DAG1-DB144,DAG1-DB145,DAG1-DB150,DAG1-DB155,DAG1-DB156,DAG1-DB160,DAG1-DB162,DAG1-DB165,DAG1-DB168,DAG1-DB170,DAG1-DB174,DAG1-DB175,DAG1-DB180,DAG1-DB185,DAG1-DB186,DAG1-DB190,DAG1-DB192,DAG1-DB195,DAG1-DB198,DAG1-DB200,DAG1-DB204,DAG1-DB205,DAG1-DB210,DAG1-DB215,DAG1-DB216"
